,Occurrence,Filière,Produit,Indicateur, Valeur 
177,2010,Rosacées,Abricotier,Superficie (Ha),12506.0
178,2010,Rosacées,Autres plantations fruitières,Production-T (Tonnes),47693.0
179,2010,Rosacées,Autres plantations fruitières,Superficie (Ha),4072.0
180,2010,Rosacées,Avocatier,Production-T (Tonnes),33519.0
181,2010,Rosacées,Avocatier,Superficie (Ha),2772.0
182,2010,Rosacées,Bananier,Production-T (Tonnes),277297.0
183,2010,Rosacées,Bananier,Superficie (Ha),6626.0
184,2010,Rosacées,Caroubier,Production-T (Tonnes),1943.0
185,2010,Rosacées,Caroubier,Superficie (Ha),457.0
186,2010,Rosacées,Cerisier,Production-T (Tonnes),8210.0
187,2010,Rosacées,Cerisier,Superficie (Ha),2096.0
188,2010,Rosacées,Cognassier,Production-T (Tonnes),31994.0
189,2010,Rosacées,Cognassier,Superficie (Ha),3834.0
190,2010,Rosacées,Figuier,Production-T (Tonnes),114770.0
191,2010,Rosacées,Figuier,Superficie (Ha),51449.0
192,2010,Rosacées,Grenadier,Production-T (Tonnes),83081.0
193,2010,Rosacées,Grenadier,Superficie (Ha),7064.0
194,2010,Rosacées,Néflier,Production-T (Tonnes),4563.0
195,2010,Rosacées,Néflier,Superficie (Ha),477.0
196,2010,Rosacées,Noyer,Production-T (Tonnes),9339.0
197,2010,Rosacées,Noyer,Superficie (Ha),5111.0
198,2010,Rosacées,Pacanier,Production-T (Tonnes),369.0
199,2010,Rosacées,Pacanier,Superficie (Ha),115.0
200,2010,Rosacées,Pêcher-nectarine,Production-T (Tonnes),74771.0
201,2010,Rosacées,Pêcher-nectarine,Superficie (Ha),5396.0
202,2010,Rosacées,Pistachier,Production-T (Tonnes),102.0
203,2010,Rosacées,Pistachier,Superficie (Ha),91.0
204,2010,Rosacées,Poirier,Production-T (Tonnes),36177.0
205,2010,Rosacées,Poirier,Superficie (Ha),3402.0
206,2010,Rosacées,Pommier,Production-T (Tonnes),517589.0
207,2010,Rosacées,Pommier,Superficie (Ha),37728.0
208,2010,Rosacées,Prunier,Production-T (Tonnes),64768.0
209,2010,Rosacées,Prunier,Superficie (Ha),12927.0
210,2010,Sucrières,Betterave à sucre,Production-T (Tonnes),3035143.0
211,2010,Sucrières,Betterave à sucre,Superficie (Ha),51730.0
212,2010,Sucrières,Canne à sucre,Production-T (Tonnes),763913.0
213,2010,Sucrières,Canne à sucre,Superficie (Ha),7645.0
214,2010,Vignes,Raisin de cuve,Production-T (Tonnes),89033.0
215,2010,Vignes,Raisin de cuve,Superficie (Ha),9199.0
216,2010,Vignes,Raisin de table,Production-T (Tonnes),203780.0
217,2010,Vignes,Raisin de table,Superficie (Ha),34063.0
218,2011,Agrumes,Autres agrumes,Production-T (Tonnes),5584.0
219,2011,Agrumes,Autres agrumes,Superficie (Ha),732.0
220,2011,Agrumes,Citron,Production-T (Tonnes),27278.0
221,2011,Agrumes,Citron,Superficie (Ha),2764.0
222,2011,Agrumes,Orange_Autres,Production-T (Tonnes),31603.0
223,2011,Agrumes,Orange_Autres,Superficie (Ha),3735.0
224,2011,Agrumes,Orange_Maroc late,Production-T (Tonnes),450520.0
225,2011,Agrumes,Orange_Maroc late,Superficie (Ha),23677.0
226,2011,Agrumes,Orange_Navel,Production-T (Tonnes),358615.0
227,2011,Agrumes,Orange_Navel,Superficie (Ha),17130.0
228,2011,Agrumes,Orange_Navel lane late,Production-T (Tonnes),24544.0
229,2011,Agrumes,Orange_Navel lane late,Superficie (Ha),1354.0
230,2011,Agrumes,Orange_Navel late,Production-T (Tonnes),4459.0
231,2011,Agrumes,Orange_Navel late,Superficie (Ha),424.0
232,2011,Agrumes,Orange_Navelina,Production-T (Tonnes),387.0
233,2011,Agrumes,Orange_Navelina,Superficie (Ha),15.0
234,2011,Agrumes,Orange_Salustiana,Production-T (Tonnes),31837.0
235,2011,Agrumes,Orange_Salustiana,Superficie (Ha),1067.0
236,2011,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes),57875.0
237,2011,Agrumes,Orange_Washignton sanguine,Superficie (Ha),2704.0
238,2011,Agrumes,Pamplemousse,Production-T (Tonnes),846.0
239,2011,Agrumes,Pamplemousse,Superficie (Ha),73.0
240,2011,Agrumes,Petit fruit_Autres,Production-T (Tonnes),35469.0
241,2011,Agrumes,Petit fruit_Autres,Superficie (Ha),4403.0
242,2011,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes),543868.0
243,2011,Agrumes,Petit fruit_Clémentine,Superficie (Ha),30139.0
244,2011,Agrumes,Petit fruit_Fortune,Production-T (Tonnes),1387.0
245,2011,Agrumes,Petit fruit_Fortune,Superficie (Ha),77.0
246,2011,Agrumes,Petit fruit_Nador cott,Production-T (Tonnes),59280.0
247,2011,Agrumes,Petit fruit_Nador cott,Superficie (Ha),3152.0
248,2011,Agrumes,Petit fruit_Nour,Production-T (Tonnes),99120.0
249,2011,Agrumes,Petit fruit_Nour,Superficie (Ha),6940.0
250,2011,Agrumes,Petit fruit_Nova,Production-T (Tonnes),16023.0
251,2011,Agrumes,Petit fruit_Nova,Superficie (Ha),938.0
252,2011,Agrumes,Petit fruit_Nules,Production-T (Tonnes),100648.0
253,2011,Agrumes,Petit fruit_Nules,Superficie (Ha),6882.0
254,2011,Agrumes,Petit fruit_Ortanique,Production-T (Tonnes),15876.0
255,2011,Agrumes,Petit fruit_Ortanique,Superficie (Ha),726.0
256,2011,Amandiers,Amandier,Production-T (Tonnes),100197.0
257,2011,Amandiers,Amandier,Superficie (Ha),147999.0
258,2011,Céréales,Autres céréales,Production-T (Tonnes),223.0
259,2011,Céréales,Autres céréales,Superficie (Ha),248.0
260,2011,Céréales,Avoine,Production-T (Tonnes),56057.0
261,2011,Céréales,Avoine,Superficie (Ha),47390.0
262,2011,Céréales,Blé dur,Production-T (Tonnes),1130042.0
263,2011,Céréales,Blé dur,Superficie (Ha),959258.0
264,2011,Céréales,Blé tendre,Production-T (Tonnes),2613241.0
265,2011,Céréales,Blé tendre,Superficie (Ha),2028149.0
266,2011,Céréales,Mais,Production-T (Tonnes),79721.0
267,2011,Céréales,Mais,Superficie (Ha),114965.0
268,2011,Céréales,Orge,Production-T (Tonnes),1195413.0
269,2011,Céréales,Orge,Superficie (Ha),1887834.0
270,2011,Céréales,Riz,Production-T (Tonnes),45554.0
271,2011,Céréales,Riz,Superficie (Ha),5994.0
272,2011,Céréales,Sorgho,Production-T (Tonnes),5780.0
273,2011,Céréales,Sorgho,Superficie (Ha),6100.0
274,2011,Fourragères,Avoine vert,Production-T (Tonnes),328078.0
275,2011,Fourragères,Avoine vert,Superficie (Ha),28868.0
276,2011,Fourragères,Bersim,Production-T (Tonnes),3505299.0
277,2011,Fourragères,Bersim,Superficie (Ha),66927.0
278,2011,Fourragères,Lupin,Production-T (Tonnes),50031.0
279,2011,Fourragères,Lupin,Superficie (Ha),4510.0
280,2011,Fourragères,Luzerne,Production-T (Tonnes),4154450.0
281,2011,Fourragères,Luzerne,Superficie (Ha),102631.0
282,2011,Fourragères,Mais fourrager,Production-T (Tonnes),695950.0
283,2011,Fourragères,Mais fourrager,Superficie (Ha),17576.0
284,2011,Fourragères,Mélange fourrager,Production-T (Tonnes),258103.0
285,2011,Fourragères,Mélange fourrager,Superficie (Ha),25158.0
286,2011,Fourragères,Orge fourrager,Production-T (Tonnes),1912932.0
287,2011,Fourragères,Orge fourrager,Superficie (Ha),120852.0
288,2011,Fourragères,Pois fourrager,Production-T (Tonnes),77989.0
289,2011,Fourragères,Pois fourrager,Superficie (Ha),21163.0
290,2011,Fourragères,Sorgho fourrager,Production-T (Tonnes),3900.0
291,2011,Fourragères,Sorgho fourrager,Superficie (Ha),150.0
292,2011,Fourragères,Triticale,Production-T (Tonnes),11764.0
293,2011,Fourragères,Triticale,Superficie (Ha),2580.0
294,2011,Fourragères,Vesce avoine,Production-T (Tonnes),180260.0
295,2011,Fourragères,Vesce avoine,Superficie (Ha),16675.0
296,2011,Industrielles,Cannabis,Superficie (Ha),71640.0
297,2011,Industrielles,Câprier,Production-T (Tonnes),31700.0
298,2011,Industrielles,Câprier,Superficie (Ha),21545.0
299,2011,Industrielles,Coriandre récoltée,Production-T (Tonnes),2574.0
300,2011,Industrielles,Coriandre récoltée,Superficie (Ha),2544.0
301,2011,Industrielles,Henné,Production-T (Tonnes),1950.0
302,2011,Industrielles,Henné,Superficie (Ha),1440.0
303,2011,Industrielles,Rosier,Superficie (Ha),40.0
304,2011,Industrielles,Safran,Production-T (Tonnes),5.0
305,2011,Industrielles,Safran,Superficie (Ha),850.0
306,2011,Industrielles,Tabac,Production-T (Tonnes),580.0
307,2011,Industrielles,Tabac,Superficie (Ha),580.0
308,2011,Légumineuses,Autres légumineuses,Production-T (Tonnes),36108.0
309,2011,Légumineuses,Autres légumineuses,Superficie (Ha),42364.0
310,2011,Légumineuses,Fève,Production-T (Tonnes),145050.0
311,2011,Légumineuses,Fève,Superficie (Ha),184230.0
312,2011,Légumineuses,Féverole,Production-T (Tonnes),11937.0
313,2011,Légumineuses,Féverole,Superficie (Ha),12394.0
314,2011,Légumineuses,Lentille,Production-T (Tonnes),21415.0
315,2011,Légumineuses,Lentille,Superficie (Ha),48535.0
316,2011,Légumineuses,Orobe,Production-T (Tonnes),1702.0
317,2011,Légumineuses,Orobe,Superficie (Ha),5080.0
318,2011,Légumineuses,Petit pois,Production-T (Tonnes),29072.0
319,2011,Légumineuses,Petit pois,Superficie (Ha),51373.0
